Name,Team,Games_played,Age,PA,SLG,play_WAR,Clutch
Keibert Ruiz,WSN,112,23,433,0.36,1.7,0.24
Joey Meneses,WSN,56,30,240,0.563,1.5,-1.73
Ildemaro Vargas,WSN,63,30,222,0.392,1.4,0.29
Lane Thomas,WSN,146,26,548,0.404,1.1,0.13
Alex Call,WSN,47,27,131,0.412,0.6,-0.28
Cesar Hernandez,WSN,147,32,617,0.318,0.5,-0.17
Victor Robles,WSN,132,25,407,0.311,0.3,0.37
Luke Voit,WSN,135,31,568,0.402,0.2,1.02
Luis Garcia,WSN,93,22,377,0.408,0,-0.22
Yadiel Hernandez,WSN,94,34,327,0.41,-0.1,-0.25
Josh Palacios,WSN,29,26,49,0.255,-0.2,0.3
CJ Abrams,WSN,90,21,302,0.324,-0.3,-0.02
Dee Strange-Gordon,WSN,23,34,59,0.356,-0.3,0.15
Alcides Escobar,WSN,42,35,131,0.282,-0.4,-0.54
Tres Barrera,WSN,19,27,53,0.2,-0.4,-0.04
Lucius Fox,WSN,10,24,28,0.08,-0.6,0.17
Maikel Franco,WSN,103,29,388,0.342,-0.8,0.04
Nelson Cruz,WSN,124,41,507,0.337,-0.9,-0.28
Riley Adams,WSN,48,26,155,0.31,-1.2,0.12
Bo Bichette,TOR,159,24,697,0.469,4.5,-0.52
George Springer,TOR,133,32,583,0.472,4.2,-1.9
Matt Chapman,TOR,155,29,621,0.433,4.1,-0.09
Alejandro Kirk,TOR,139,23,541,0.415,3.8,-1.63
Brandon Drury,TOR,138,29,568,0.492,3,1.73
Vladimir Guerrero Jr.,TOR,160,23,706,0.48,2.8,0.19
Danny Jansen,TOR,72,27,248,0.516,2.6,-0.27
Teoscar Hernandez,TOR,131,29,535,0.491,2.4,-0.8
Santiago Espinal,TOR,135,27,491,0.37,2.3,0.38
Whit Merrifield,TOR,139,33,550,0.375,1.5,1.56
Cavan Biggio,TOR,97,27,303,0.35,1.3,-0.25
Lourdes Gurriel Jr.,TOR,121,28,493,0.4,1,2.03
Gabriel Moreno,TOR,25,22,73,0.377,0.7,-0.46
Raimel Tapia,TOR,128,28,433,0.38,0.3,0.16
Jackie Bradley Jr.,TOR,132,32,370,0.311,-0.1,-0.16
Corey Seager,TEX,151,28,663,0.455,4.5,1.12
Marcus Semien,TEX,161,31,724,0.429,4.2,-1
Adolis Garcia,TEX,156,29,657,0.456,3.8,-0.41
Nathaniel Lowe,TEX,157,26,645,0.492,3,-0.13
Jonah Heim,TEX,127,27,450,0.399,2.8,-1.07
Leody Taveras,TEX,99,23,341,0.366,1.2,0.08
Eli White,TEX,47,28,117,0.305,0.9,-0.23
Mark Mathias,TEX,30,27,91,0.506,0.7,0.18
Meibrys Viloria,TEX,26,25,75,0.27,0.7,0.2
Sam Huff,TEX,44,24,132,0.372,0.5,0.15
Bubba Thompson,TEX,55,24,181,0.312,0.4,-0.6
Mitch Garver,TEX,54,31,215,0.404,0.3,-0.84
Nick Solak,TEX,35,27,95,0.329,0.1,-0.13
Ezequiel Duran,TEX,58,23,220,0.365,0.1,-0.39
Josh Smith,TEX,73,24,253,0.249,0,0.82
Josh Jung,TEX,26,24,102,0.418,-0.1,-0.81
Andy Ibanez,TEX,40,29,128,0.277,-0.2,-0.67
Elier Hernandez,TEX,14,27,35,0.242,-0.2,0.01
Zach Reks,TEX,16,28,34,0.294,-0.3,0.1
Kevin Plawecki,TEX,64,31,186,0.286,-0.5,-0.13
Charlie Culberson,TEX,70,33,124,0.357,-0.6,0.12
Brad Miller,TEX,81,32,241,0.32,-1.1,0.04
Kole Calhoun,TEX,125,34,424,0.33,-1.1,0.51
Yandy Diaz,TBR,137,30,558,0.423,3.8,-0.51
Randy Arozarena,TBR,153,27,645,0.445,2.7,1.46
Isaac Paredes,TBR,111,23,381,0.435,2.4,0.32
Wander Franco,TBR,83,21,344,0.417,2.3,-1.92
Christian Bethancourt,TBR,101,30,333,0.409,1.9,-1.12
Jose Siri,TBR,104,26,325,0.339,1.9,-0.41
David Peralta,TBR,134,34,490,0.415,1.7,-0.47
Manuel Margot,TBR,89,27,363,0.375,1.5,0.9
Ji-Man Choi,TBR,113,31,419,0.388,1.3,-0.57
Harold Ramirez,TBR,120,27,435,0.404,1.2,1.47
Kevin Kiermaier,TBR,63,32,221,0.369,1.1,0.97
Brandon Lowe,TBR,65,27,266,0.383,0.9,0.1
Roman Quinn,TBR,44,29,87,0.304,0.3,-0.08
Josh Lowe,TBR,52,24,198,0.343,0.3,-0.15
Francisco Mejia,TBR,93,26,299,0.381,0.2,0.09
Luke Raley,TBR,22,27,72,0.279,0,-0.06
Rene Pinto,TBR,25,25,83,0.325,0,-0.61
Mike Zunino,TBR,36,31,123,0.304,0,0.81
Jonathan Aranda,TBR,32,24,87,0.321,-0.2,1.05
Taylor Walls,TBR,142,25,466,0.285,-0.5,0.35
Vidal Brujan,TBR,52,24,162,0.259,-0.5,0.25
Nolan Arenado,STL,148,31,620,0.533,7.3,-0.39
Paul Goldschmidt,STL,151,34,651,0.578,7.1,-1.45
Tommy Edman,STL,153,27,630,0.4,5.6,1.02
Brendan Donovan,STL,126,25,468,0.379,2.7,-0.57
Lars Nootbaar,STL,108,24,347,0.448,2.7,1.59
Dylan Carlson,STL,128,23,488,0.38,2.4,0.98
Albert Pujols,STL,109,42,351,0.55,1.8,0.57
Tyler O'Neill,STL,96,27,383,0.392,1.3,-0.29
Conner Capel,STL,22,25,59,0.519,0.7,-1.22
Nolan Gorman,STL,89,22,313,0.42,0.5,0.82
Corey Dickerson,STL,97,33,297,0.399,0.4,0.39
Juan Yepez,STL,76,24,274,0.447,0.1,0.43
Ben DeLuzio,STL,22,27,25,0.2,0.1,-0.37
Paul DeJong,STL,77,28,237,0.286,0.1,0.21
Yadier Molina,STL,80,39,270,0.302,0.1,0.73
Ivan Herrera,STL,11,22,22,0.111,-0.1,-0.07
Andrew Knizner,STL,97,27,293,0.3,-0.3,0
Alec Burleson,STL,16,23,53,0.271,-0.3,0.2
Oscar Mercado,STL,55,27,128,0.372,-0.5,0.05
Thairo Estrada,SFG,140,26,541,0.402,2.7,0.71
Mike Yastrzemski,SFG,148,31,558,0.392,2.2,0.16
Joc Pederson,SFG,134,30,433,0.521,2.1,0.65
Austin Slater,SFG,125,29,325,0.408,2.1,-0.12
Brandon Crawford,SFG,118,35,458,0.344,2,-1
Wilmer Flores,SFG,151,30,602,0.394,1.4,-0.63
Evan Longoria,SFG,89,36,298,0.451,1.3,0.21
J.D. Davis,SFG,115,29,365,0.418,0.9,0.36
David Villar,SFG,52,25,181,0.455,0.9,-0.01
Joey Bart,SFG,97,25,291,0.364,0.6,-0.09
Jason Vosler,SFG,36,28,111,0.469,0.5,-0.12
Austin Wynns,SFG,66,31,177,0.358,0.4,-0.09
Luis Gonzalez,SFG,98,26,350,0.36,0.3,0.24
LaMonte Wade Jr.,SFG,77,28,251,0.359,0.2,-0.13
Lewis Brinson,SFG,16,28,39,0.472,0.1,-0.14
Brandon Belt,SFG,78,34,298,0.35,0,0.17
Ford Proctor,SFG,7,25,22,0.278,0,-0.02
Yermin Mercedes,SFG,31,29,83,0.342,-0.2,0.58
Willie Calhoun,SFG,22,27,62,0.25,-0.3,0.41
Andrew Knapp,SFG,16,30,46,0.154,-0.4,0.99
Heliot Ramos,SFG,9,22,22,0.1,-0.5,-1.92
Donovan Walton,SFG,25,28,78,0.303,-0.7,0.51
Tommy La Stella,SFG,60,33,195,0.35,-0.8,0.11
Julio Rodriguez,SEA,132,21,560,0.509,5.3,0.18
Cal Raleigh,SEA,119,25,415,0.489,4.2,0.21
Eugenio Suarez,SEA,150,30,629,0.459,4.1,0.79
Ty France,SEA,140,27,613,0.437,2.5,0.62
Dylan Moore,SEA,104,29,255,0.385,2.1,0.36
J.P. Crawford,SEA,145,27,603,0.336,2,-0.07
Sam Haggerty,SEA,83,28,201,0.403,1.5,-0.56
Adam Frazier,SEA,156,30,602,0.311,1.1,0.78
Mitch Haniger,SEA,57,31,247,0.429,0.8,0.75
Tom Murphy,SEA,14,31,42,0.455,0.5,1.68
Curt Casali,SEA,57,33,176,0.331,0.4,-0.07
Jesse Winker,SEA,136,28,547,0.344,0.4,-0.79
Taylor Trammell,SEA,43,24,117,0.402,0.4,1.42
Jake Lamb,SEA,41,31,111,0.392,-0.1,0.62
Travis Jankowski,SEA,44,31,64,0.164,-0.1,1
Jarred Kelenic,SEA,54,22,181,0.313,-0.1,-0.15
Luis Torrens,SEA,57,26,166,0.298,-0.3,0.03
Kyle Lewis,SEA,18,26,62,0.304,-0.4,0.13
Justin Upton,SEA,17,34,57,0.208,-0.5,0.14
Abraham Toro,SEA,109,25,352,0.324,-0.7,0.54
Manny Machado,SDP,150,29,644,0.531,7.4,1.49
Jake Cronenworth,SDP,158,28,684,0.394,4.2,-0.56
Juan Soto,SDP,153,23,664,0.452,3.8,-1.41
Ha-seong Kim,SDP,150,26,582,0.383,3.7,0.68
Jurickson Profar,SDP,152,29,658,0.391,2.5,-1.89
Trent Grisham,SDP,152,25,524,0.341,2.1,0.44
Josh Bell,SDP,156,29,647,0.422,2,-0.73
Wil Myers,SDP,77,31,286,0.398,1,0.1
Jorge Alfaro,SDP,82,29,274,0.383,0.5,0.17
Jose Azocar,SDP,98,26,216,0.332,0.5,-1.07
Nomar Mazara,SDP,55,27,171,0.352,0.2,-0.24
Austin Nola,SDP,110,32,397,0.329,0.2,-0.06
Matt Batten,SDP,15,27,22,0.158,0,0.8
Luis Campusano,SDP,16,23,50,0.333,-0.2,0.33
Matt Beaty,SDP,20,29,47,0.163,-0.7,0.4
Ke'Bryan Hayes,PIT,136,25,560,0.345,3,1.44
Bryan Reynolds,PIT,145,27,614,0.461,2.9,0.39
Jack Suwinski,PIT,106,23,372,0.411,1.8,-0.3
Kevin Newman,PIT,78,28,309,0.372,1.3,-0.71
Oneil Cruz,PIT,87,23,361,0.45,1.2,0.82
Carlos Santana,PIT,131,36,506,0.376,1,-1
Rodolfo Castro,PIT,71,23,278,0.427,0.9,0.09
Tyler Heineman,PIT,62,31,174,0.268,0.6,-0.88
Roberto Perez,PIT,21,33,69,0.367,0.6,-1.02
Jake Marisnick,PIT,31,31,82,0.39,0.5,0.09
Ji-Hwan Bae,PIT,10,22,37,0.424,0.2,-0.08
Jason Delay,PIT,57,27,167,0.271,0.2,0.42
Greg Allen,PIT,46,29,134,0.271,0.2,0.5
Ben Gamel,PIT,115,30,423,0.369,0,-0.25
Diego Castillo,PIT,96,24,283,0.382,-0.1,-1.27
Tucupita Marcano,PIT,49,22,177,0.306,-0.1,-0.1
Miguel Andujar,PIT,36,27,140,0.311,-0.2,0.37
Jose Godoy,PIT,10,27,22,0.05,-0.2,0.42
Josh VanMeter,PIT,67,27,192,0.292,-0.3,0.04
Zack Collins,PIT,36,27,108,0.32,-0.4,0.21
Bligh Madris,PIT,39,26,123,0.265,-0.4,-0.1
Hoy Park,PIT,23,26,60,0.373,-0.5,0.04
Kevin Padlo,PIT,13,25,34,0.152,-0.6,1.15
Michael Chavis,PIT,129,26,426,0.389,-0.6,1.1
Calvin Mitchell,PIT,69,23,232,0.349,-0.6,-0.12
Cole Tucker,PIT,18,25,63,0.222,-0.8,0.44
Yoshi Tsutsugo,PIT,50,30,193,0.229,-1.3,0.19
J.T. Realmuto,PHI,139,31,562,0.478,6.5,-1
Kyle Schwarber,PHI,155,29,669,0.504,2.6,1.04
Bryce Harper,PHI,99,29,426,0.514,2.4,0.05
Rhys Hoskins,PHI,156,29,672,0.462,2.2,-0.09
Brandon Marsh,PHI,134,24,461,0.384,1.7,0.05
Jean Segura,PHI,98,32,387,0.387,1.7,1.25
Alec Bohm,PHI,152,25,631,0.398,1.5,-0.05
Bryson Stott,PHI,127,24,466,0.358,1.4,-1.05
Edmundo Sosa,PHI,78,26,190,0.369,1.2,-0.25
Nick Maton,PHI,35,25,85,0.514,0.8,0.16
Garrett Stubbs,PHI,50,29,121,0.462,0.6,-0.33
Odubel Herrera,PHI,62,30,197,0.378,0.5,-0.25
Darick Hall,PHI,42,26,142,0.522,0.4,0.42
Johan Camargo,PHI,52,28,166,0.316,0.4,-0.02
Dalton Guthrie,PHI,14,26,28,0.476,0.3,-0.09
Matt Vierling,PHI,117,25,357,0.351,0,0.38
Yairo Munoz,PHI,29,27,60,0.404,-0.1,0.17
Bradley Zimmer,PHI,109,29,117,0.229,-0.2,0.01
Didi Gregorius,PHI,63,32,232,0.304,-0.3,2.27
Nick Castellanos,PHI,136,30,558,0.389,-0.7,-0.17
Sean Murphy,OAK,148,27,612,0.426,5.1,-1.18
Seth Brown,OAK,150,29,555,0.444,1.8,1.15
Tony Kemp,OAK,147,30,558,0.334,1.5,-0.76
Ramon Laureano,OAK,94,27,383,0.376,0.9,0.97
Nick Allen,OAK,100,23,326,0.291,0.5,-0.34
Dermis Garcia,OAK,39,24,125,0.388,0.2,0.06
Luis Barrera,OAK,32,26,85,0.338,0.2,0.31
Skye Bolt,OAK,42,28,116,0.33,0.2,-0.08
Shea Langeliers,OAK,40,24,153,0.43,0.1,0.09
Chad Pinder,OAK,111,30,379,0.385,-0.1,-0.36
Vimael Machin,OAK,73,28,253,0.287,-0.1,-0.1
Cody Thomas,OAK,10,27,32,0.267,-0.1,0.19
Jonah Bride,OAK,58,26,187,0.247,-0.1,-0.9
Kevin Smith,OAK,47,25,151,0.302,-0.1,-0.21
Cal Stevenson,OAK,23,25,71,0.217,-0.1,-0.26
Matt Davidson,OAK,13,31,37,0.324,-0.3,0.18
Jordan Diaz,OAK,15,21,51,0.327,-0.3,-0.49
Brent Rooker,OAK,16,27,36,0.156,-0.4,-0.37
Stephen Piscotty,OAK,42,31,139,0.341,-0.5,-0.2
Sheldon Neuse,OAK,89,27,293,0.288,-0.5,1.79
David MacKinnon,OAK,22,27,57,0.14,-0.6,-0.2
Stephen Vogt,OAK,70,37,191,0.321,-0.6,-0.14
Billy McKinney,OAK,23,27,57,0.173,-0.6,0.45
Ernie Clement,OAK,70,26,179,0.209,-1,-0.03
Jed Lowrie,OAK,50,38,184,0.263,-1,-0.13
Cristian Pache,OAK,91,23,260,0.241,-1,-0.39
Aaron Judge,NYY,157,30,696,0.686,11.4,-1.43
Jose Trevino,NYY,115,29,353,0.388,3.7,-1.41
DJ LeMahieu,NYY,125,33,541,0.377,3,-0.12
Andrew Benintendi,NYY,126,27,521,0.399,2.8,1.24
Gleyber Torres,NYY,140,25,572,0.451,2.7,-0.48
Anthony Rizzo,NYY,130,32,548,0.48,2.4,0.11
Matt Carpenter,NYY,47,36,154,0.727,2.3,0.66
Kyle Higashioka,NYY,83,32,248,0.389,1.7,-1.15
Josh Donaldson,NYY,132,36,546,0.374,1.6,-0.42
Harrison Bader,NYY,86,28,313,0.356,1.5,-0.4
Oswaldo Cabrera,NYY,44,23,171,0.429,1.5,-0.76
Aaron Hicks,NYY,130,32,453,0.313,1.5,-0.28
Isiah Kiner-Falefa,NYY,142,27,531,0.327,1.3,1.46
Giancarlo Stanton,NYY,110,32,452,0.462,1.2,0.4
Oswald Peraza,NYY,18,22,57,0.429,0.4,0.1
Tim Locastro,NYY,38,29,46,0.349,0,-0.26
Marwin Gonzalez,NYY,86,33,207,0.321,0,0.95
Estevan Florial,NYY,17,24,35,0.097,-0.4,-0.14
Francisco Lindor,NYM,161,28,706,0.449,6.8,1.37
Jeff McNeil,NYM,148,30,589,0.454,5.9,-0.27
Brandon Nimmo,NYM,151,29,673,0.433,5.4,-0.16
Pete Alonso,NYM,160,27,685,0.518,4,0.34
Starling Marte,NYM,118,33,505,0.468,3,0.37
Mark Canha,NYM,140,33,542,0.403,2.8,-0.26
Eduardo Escobar,NYM,136,33,542,0.43,2.3,0.76
Daniel Vogelbach,NYM,130,29,461,0.433,1.5,0.37
Luis Guillorme,NYM,102,27,335,0.34,1.3,0.11
Tomas Nido,NYM,98,28,313,0.324,0.9,-0.33
James McCann,NYM,61,32,191,0.282,0.4,0.53
Tyler Naquin,NYM,105,31,334,0.423,0.3,0.18
Brett Baty,NYM,11,22,42,0.342,-0.1,-0.34
Dominic Smith,NYM,58,27,152,0.284,-0.1,-0.34
Nick Plummer,NYM,14,25,31,0.379,-0.1,0.33
Patrick Mazeika,NYM,24,28,72,0.294,-0.1,0.02
Mark Vientos,NYM,16,22,41,0.278,-0.2,-0.88
Yolmer Sanchez,NYM,17,30,44,0.108,-0.4,0.36
Michael Perez,NYM,45,29,132,0.298,-0.5,-0.08
Darin Ruf,NYM,119,35,388,0.338,-0.7,-0.79
Carlos Correa,MIN,136,27,590,0.467,4.4,0.09
Byron Buxton,MIN,92,28,382,0.526,4,-0.59
Luis Arraez,MIN,144,25,603,0.42,3.2,-0.65
Gio Urshela,MIN,144,30,551,0.429,2.4,-0.49
Max Kepler,MIN,115,29,446,0.348,2,-0.93
Jorge Polanco,MIN,104,28,445,0.405,1.8,0.37
Nick Gordon,MIN,138,26,443,0.427,1.5,-1.48
Gary Sanchez,MIN,128,29,471,0.377,1.3,0.26
Jose Miranda,MIN,125,24,483,0.426,1.1,-0.61
Trevor Larnach,MIN,51,25,180,0.406,1.1,-0.6
Ryan Jeffers,MIN,67,25,236,0.363,0.9,-0.51
Royce Lewis,MIN,12,23,41,0.55,0.5,2.08
Jake Cave,MIN,54,29,177,0.384,0.5,-0.09
Kyle Garlick,MIN,66,30,162,0.433,0.1,0.01
Matt Wallner,MIN,18,24,65,0.386,0.1,-0.04
Gilberto Celestino,MIN,122,23,347,0.302,0,0.07
Billy Hamilton,MIN,37,31,23,0.05,-0.1,-0.06
Mark Contreras,MIN,28,27,61,0.293,-0.1,-0.6
Caleb Hamilton,MIN,22,27,23,0.222,-0.2,0.23
Sandy Leon,MIN,34,33,86,0.211,-0.4,-0.3
Alex Kirilloff,MIN,45,24,156,0.361,-0.6,-0.03
Tim Beckham,MIN,12,32,25,0.08,-0.6,-0.52
Jermaine Palacios,MIN,30,25,77,0.229,-0.9,0.03
Miguel Sano,MIN,20,29,71,0.133,-0.9,-0.7
Willy Adames,MIL,139,26,617,0.458,4.7,2.01
Hunter Renfroe,MIL,125,30,522,0.492,2.5,-0.13
Kolten Wong,MIL,134,31,497,0.43,2.5,0.56
Christian Yelich,MIL,154,30,671,0.383,2.3,-2.11
Luis Urias,MIL,119,25,472,0.404,2.3,0.45
Jace Peterson,MIL,113,32,328,0.382,2.2,-0.35
Tyrone Taylor,MIL,120,28,405,0.442,2.1,0.52
Victor Caratini,MIL,96,28,314,0.342,1.2,0.21
Omar Narvaez,MIL,84,30,296,0.305,1.1,-0.26
Garrett Mitchell,MIL,28,23,68,0.459,1,-0.13
Keston Hiura,MIL,80,25,266,0.449,0.8,0.19
Rowdy Tellez,MIL,153,27,599,0.461,0.8,-0.19
Mike Brosseau,MIL,70,28,160,0.418,0.6,0.9
Jonathan Davis,MIL,37,30,91,0.237,0.5,-1.31
Andrew McCutchen,MIL,134,35,580,0.384,0.3,-0.05
